SN,smiles,eib
253,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cn3)nc1)C2=O,1.340659330060998
254,[*]c1ccc(-c2nnc([*])o2)c(OCC)c1,1.3409235916769635
255,CC(=S)OC(=S),1.3416632636741397
256,[*]CC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],1.3454764711615113
257,[*]c1ccc(S(=O)(=O)c2ccc(-n3nc([*])c4ccccc4c3=O)cc2)cc1,1.346805087744016
258,[*]CCC(S1)=CC=C1C(=S)[*],1.3475078378926837
259,[*]c1ccc(-c2ccc(-c3cnc4cc(-c5ccc6nc([*])cnc6c5)ccc4n3)cc2)cc1,1.3503013526875698
260,[*]c1cc([*])c(O)c(C=Nc2ccc(C(=O)O)cc2)c1,1.3526666966200571
261,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2O[*],1.3556113867123076
262,[*]C(C#N)C(C#N)(C#N)[*],1.3627470384859208
